date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:13:33	85436/85436	---M--	200	added ('OK')	image/jpeg	etag:%22ce9f58c2eceb1a13eb6d6d70669d848c-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/graphic%20ui-ux%20(2).jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/graphic%20ui-ux%20(2).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:33	101428/101428	---M--	200	added ('OK')	image/jpeg	etag:%22fd47b4969672accdbec8376d7210f6b4-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/graphic%20ui-ux%20(3).jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/graphic%20ui-ux%20(3).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:35	113010/113010	---M--	200	added ('OK')	image/jpeg	etag:%223df9e846d762a63ec5590aad831840e8-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/graphic%20ui-ux%20(4).jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/graphic%20ui-ux%20(4).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:35	90351/90351	---M--	200	added ('OK')	image/jpeg	etag:%22ad0cb2fda55ae3d51c5d833129e762fa-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(9).jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(9).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:36	7428/7428	---M--	200	added ('OK')	image/jpeg	etag:%225288b90dda9531cb1a457adec6760a07-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(4).jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(4).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:37	82205/82205	---M--	200	added ('OK')	image/png	etag:%22275aab1e1de4cc98b56e6daee9000806-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(7).png	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(7).png	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:38	197389/197389	---M--	200	added ('OK')	image/jpeg	etag:%22d2059cadb5bbac3ecfc43bbe6b86ee06-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brochure-1.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brochure-1.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:38	518301/518301	---M--	200	added ('OK')	image/jpeg	etag:%221bcce6999f4755f1274a0b6ee63815a2-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brochure-2.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brochure-2.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:39	498113/498113	---M--	200	added ('OK')	image/jpeg	etag:%22b91ca8f474a0f324000e14a2a2bf63ed-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brochure-3.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brochure-3.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:40	356129/356129	---M--	200	added ('OK')	image/jpeg	etag:%223026f7b0ad730af97fd0d2dcdb68204b-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brochure-4.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brochure-4.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
